 ,Area,Mean,Min,Max
1,132,176.818,168,189
2,141,176.610,169,197
3,136,177.221,171,192
4,145,177.986,171,199
5,132,178.386,171,184
6,141,177.277,170,199
7,136,175.684,167,195
8,146,174.932,168,189
9,132,172.477,165,182
10,141,169.184,155,182
11,136,167.338,138,184
12,145,168.441,162,179
13,132,168.091,158,177
14,141,170.518,160,184
15,136,173.735,163,180
16,145,175.297,167,187
17,132,176.712,171,190
18,141,176.248,168,195
19,136,176.588,169,184
20,145,176.903,171,195
21,132,176.621,169,191
22,141,176.411,165,197
23,136,173.787,166,194
24,146,173.623,166,193
25,132,170.970,159,181
26,141,168.433,154,184
27,136,165.588,149,179
28,145,167.255,160,179
29,132,166.773,156,175
30,141,169.418,159,182
31,136,171.949,164,178
32,145,175.090,167,191
