 ,Mean
1,119.908
2,120.056
3,119.024
4,119.352
5,120.579
6,125.564
7,127.738
8,129.307
9,129.145
10,128.883
11,129.119
12,125.136
13,121.610
14,120.893
15,121.073
16,120.830
17,82.331
18,99.690
19,128.127
20,132.272
21,127.778
22,125.675
23,122.643
24,120.100
25,119.327
26,122.338
27,129.771
28,132.377
29,133.249
30,131.319
31,112.162
32,86.415
