 ,Area,Mean,Min,Max
1,62,110.806,100,119
2,72,111.431,98,157
3,67,111.507,96,154
4,74,111.527,101,139
5,61,111.443,102,137
6,65,111.969,98,147
7,71,113.296,98,177
8,67,114.045,99,178
9,71,112.479,102,151
10,70,112.057,101,160
11,67,109.209,101,120
12,67,112.149,102,130
13,73,112.616,102,131
14,64,111.672,104,129
15,73,111.260,103,126
16,78,111.256,103,122
17,62,113.968,103,127
18,72,114.375,100,164
19,67,113.612,99,149
20,74,114.459,103,131
21,61,113.770,105,156
22,65,116.600,101,167
23,71,118.563,101,181
24,67,119.836,104,183
25,71,116.986,105,169
26,70,117.386,104,175
27,67,111.761,103,132
28,67,113.328,106,128
29,73,116.438,107,134
30,64,114.672,106,129
31,73,113.425,106,129
32,78,113.615,107,124
