 ,Mean
1,129.963
2,128.985
3,126.878
4,125.772
5,125.496
6,132.814
7,135.333
8,135.067
9,134.211
10,139.212
11,144.788
12,143.125
13,139.939
14,135.631
15,129.839
16,125.305
17,101.581
18,116.458
19,145.027
20,149.493
21,148.572
22,150.995
23,150.492
24,144.590
25,142.595
26,151.502
27,161.279
28,162.393
29,158.005
30,149.568
31,128.489
32,101.965
